time,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,pressure_msl,surface_pressure,et0_fao_evapotranspiration,wind_speed_10m,wind_direction_10m,direct_radiation,direct_radiation_instant
2026-01-06 00:00:00,-6.6,82.0,-9.1,0.0,1013.7,1008.8,0.0,8.8,211.0,0.0,0.0
2026-01-06 00:05:00,-6.6,82.0,-9.1,0.0,1013.7,1008.8,0.0,8.7,211.0,0.0,0.0
2026-01-06 00:10:00,-6.7,82.0,-9.2,0.0,1013.7,1008.8,0.0,8.6,211.0,0.0,0.0
2026-01-06 00:15:00,-6.7,82.0,-9.2,0.0,1013.6,1008.8,0.0,8.5,211.0,0.0,0.0
2026-01-06 00:20:00,-6.8,82.0,-9.3,0.0,1013.6,1008.7,0.0,8.4,211.0,0.0,0.0
2026-01-06 00:25:00,-6.8,82.0,-9.3,0.0,1013.6,1008.7,0.0,8.3,211.0,0.0,0.0
2026-01-06 00:30:00,-6.8,82.0,-9.4,0.0,1013.6,1008.7,0.0,8.2,211.0,0.0,0.0
2026-01-06 00:35:00,-6.9,82.0,-9.4,0.0,1013.6,1008.7,0.0,8.2,211.0,0.0,0.0
2026-01-06 00:40:00,-6.9,82.0,-9.4,0.0,1013.6,1008.7,0.0,8.1,211.0,0.0,0.0
2026-01-06 00:45:00,-7.0,82.0,-9.5,0.0,1013.6,1008.6,0.0,8.1,211.0,0.0,0.0
2026-01-06 00:50:00,-7.0,82.0,-9.5,0.0,1013.5,1008.6,0.0,8.0,211.0,0.0,0.0
2026-01-06 00:55:00,-7.1,82.0,-9.6,0.0,1013.5,1008.6,0.0,8.0,211.0,0.0,0.0
2026-01-06 01:00:00,-7.1,82.0,-9.6,0.0,1013.5,1008.6,0.0,8.0,214.0,0.0,0.0
2026-01-06 01:05:00,-7.1,82.0,-9.6,0.0,1013.5,1008.6,0.0,8.0,214.0,0.0,0.0
2026-01-06 01:10:00,-7.2,82.0,-9.6,0.0,1013.4,1008.6,0.0,8.0,214.0,0.0,0.0
2026-01-06 01:15:00,-7.2,82.0,-9.7,0.0,1013.4,1008.5,0.0,8.0,214.0,0.0,0.0
2026-01-06 01:20:00,-7.2,82.0,-9.7,0.0,1013.4,1008.5,0.0,8.1,214.0,0.0,0.0
2026-01-06 01:25:00,-7.2,82.0,-9.7,0.0,1013.4,1008.5,0.0,8.1,214.0,0.0,0.0
2026-01-06 01:30:00,-7.2,82.0,-9.8,0.0,1013.4,1008.4,0.0,8.2,214.0,0.0,0.0
2026-01-06 01:35:00,-7.3,82.0,-9.8,0.0,1013.3,1008.4,0.0,8.2,214.0,0.0,0.0
2026-01-06 01:40:00,-7.3,82.0,-9.8,0.0,1013.3,1008.4,0.0,8.2,214.0,0.0,0.0
2026-01-06 01:45:00,-7.3,82.0,-9.8,0.0,1013.3,1008.4,0.0,8.3,214.0,0.0,0.0
2026-01-06 01:50:00,-7.4,82.0,-9.8,0.0,1013.2,1008.4,0.0,8.3,214.0,0.0,0.0
2026-01-06 01:55:00,-7.4,82.0,-9.9,0.0,1013.2,1008.3,0.0,8.3,214.0,0.0,0.0
2026-01-06 02:00:00,-7.4,82.0,-9.9,0.0,1013.2,1008.3,0.0,8.3,204.0,0.0,0.0
2026-01-06 02:05:00,-7.4,82.2,-9.9,0.0,1013.2,1008.3,0.0,8.3,204.0,0.0,0.0
2026-01-06 02:10:00,-7.5,82.3,-10.0,0.0,1013.2,1008.3,0.0,8.3,204.0,0.0,0.0
2026-01-06 02:15:00,-7.5,82.5,-10.0,0.0,1013.2,1008.4,0.0,8.3,204.0,0.0,0.0
2026-01-06 02:20:00,-7.6,82.7,-10.0,0.0,1013.3,1008.4,0.0,8.3,204.0,0.0,0.0
2026-01-06 02:25:00,-7.6,82.8,-10.0,0.0,1013.3,1008.4,0.0,8.3,204.0,0.0,0.0
2026-01-06 02:30:00,-7.6,83.0,-10.0,0.0,1013.3,1008.4,0.0,8.3,204.0,0.0,0.0
2026-01-06 02:35:00,-7.7,83.2,-10.1,0.0,1013.3,1008.4,0.0,8.3,204.0,0.0,0.0
2026-01-06 02:40:00,-7.7,83.3,-10.1,0.0,1013.3,1008.4,0.0,8.3,204.0,0.0,0.0
2026-01-06 02:45:00,-7.8,83.5,-10.1,0.0,1013.4,1008.4,0.0,8.2,204.0,0.0,0.0
2026-01-06 02:50:00,-7.8,83.7,-10.1,0.0,1013.4,1008.5,0.0,8.2,204.0,0.0,0.0
2026-01-06 02:55:00,-7.9,83.8,-10.2,0.0,1013.4,1008.5,0.0,8.2,204.0,0.0,0.0
2026-01-06 03:00:00,-7.9,84.0,-10.2,0.0,1013.4,1008.5,0.0,8.2,216.0,0.0,0.0
2026-01-06 03:05:00,-7.9,84.0,-10.2,0.0,1013.4,1008.5,0.0,8.2,216.0,0.0,0.0
2026-01-06 03:10:00,-7.9,84.0,-10.2,0.0,1013.4,1008.5,0.0,8.1,216.0,0.0,0.0
2026-01-06 03:15:00,-8.0,84.0,-10.2,0.0,1013.5,1008.6,0.0,8.1,216.0,0.0,0.0
2026-01-06 03:20:00,-8.0,84.0,-10.3,0.0,1013.5,1008.6,0.0,8.0,216.0,0.0,0.0
2026-01-06 03:25:00,-8.0,84.0,-10.3,0.0,1013.5,1008.6,0.0,7.9,216.0,0.0,0.0
2026-01-06 03:30:00,-8.0,84.0,-10.3,0.0,1013.6,1008.6,0.0,7.8,216.0,0.0,0.0
2026-01-06 03:35:00,-8.0,84.0,-10.3,0.0,1013.6,1008.6,0.0,7.7,216.0,0.0,0.0
2026-01-06 03:40:00,-8.0,84.0,-10.3,0.0,1013.6,1008.6,0.0,7.6,216.0,0.0,0.0
2026-01-06 03:45:00,-8.0,84.0,-10.4,0.0,1013.6,1008.6,0.0,7.5,216.0,0.0,0.0
2026-01-06 03:50:00,-8.1,84.0,-10.4,0.0,1013.6,1008.7,0.0,7.3,216.0,0.0,0.0
2026-01-06 03:55:00,-8.1,84.0,-10.4,0.0,1013.7,1008.7,0.0,7.2,216.0,0.0,0.0
2026-01-06 04:00:00,-8.1,84.0,-10.4,0.0,1013.7,1008.7,0.0,7.1,210.0,0.0,0.0
2026-01-06 04:05:00,-8.2,84.2,-10.4,0.0,1013.7,1008.7,0.0,7.0,210.0,0.0,0.0
2026-01-06 04:10:00,-8.2,84.3,-10.5,0.0,1013.7,1008.7,0.0,6.8,210.0,0.0,0.0
2026-01-06 04:15:00,-8.3,84.5,-10.5,0.0,1013.7,1008.7,0.0,6.6,210.0,0.0,0.0
2026-01-06 04:20:00,-8.3,84.7,-10.5,0.0,1013.7,1008.7,0.0,6.5,210.0,0.0,0.0
2026-01-06 04:25:00,-8.4,84.8,-10.6,0.0,1013.7,1008.7,0.0,6.3,210.0,0.0,0.0
2026-01-06 04:30:00,-8.4,85.0,-10.6,0.0,1013.8,1008.8,0.0,6.1,210.0,0.0,0.0
2026-01-06 04:35:00,-8.5,85.2,-10.6,0.0,1013.8,1008.8,0.0,5.9,210.0,0.0,0.0
2026-01-06 04:40:00,-8.6,85.3,-10.7,0.0,1013.8,1008.8,0.0,5.7,210.0,0.0,0.0
2026-01-06 04:45:00,-8.6,85.5,-10.7,0.0,1013.8,1008.8,0.0,5.6,210.0,0.0,0.0
2026-01-06 04:50:00,-8.7,85.7,-10.7,0.0,1013.8,1008.8,0.0,5.5,210.0,0.0,0.0
2026-01-06 04:55:00,-8.7,85.8,-10.8,0.0,1013.8,1008.8,0.0,5.4,210.0,0.0,0.0
2026-01-06 05:00:00,-8.8,86.0,-10.8,0.0,1013.8,1008.8,0.0,5.4,194.0,0.0,0.0
2026-01-06 05:05:00,-8.7,86.0,-10.7,0.0,1013.8,1008.8,0.0,5.5,194.0,0.0,0.0
2026-01-06 05:10:00,-8.6,86.0,-10.6,0.0,1013.8,1008.8,0.0,5.7,194.0,0.0,0.0
2026-01-06 05:15:00,-8.5,86.0,-10.5,0.0,1013.8,1008.9,0.0,6.0,194.0,0.0,0.0
2026-01-06 05:20:00,-8.4,86.0,-10.4,0.0,1013.9,1008.9,0.0,6.4,194.0,0.0,0.0
2026-01-06 05:25:00,-8.3,86.0,-10.3,0.0,1013.9,1008.9,0.0,6.8,194.0,0.0,0.0
2026-01-06 05:30:00,-8.2,86.0,-10.2,0.0,1013.9,1009.0,0.0,7.3,194.0,0.0,0.0
2026-01-06 05:35:00,-8.2,86.0,-10.1,0.0,1013.9,1009.0,0.0,7.7,194.0,0.0,0.0
2026-01-06 05:40:00,-8.1,86.0,-10.0,0.0,1013.9,1009.0,0.0,8.1,194.0,0.0,0.0
2026-01-06 05:45:00,-8.0,86.0,-9.9,0.0,1014.0,1009.0,0.0,8.5,194.0,0.0,0.0
2026-01-06 05:50:00,-7.9,86.0,-9.8,0.0,1014.0,1009.0,0.0,8.8,194.0,0.0,0.0
2026-01-06 05:55:00,-7.8,86.0,-9.7,0.0,1014.0,1009.1,0.0,9.0,194.0,0.0,0.0
2026-01-06 06:00:00,-7.7,86.0,-9.6,0.0,1014.0,1009.1,0.0,9.1,197.0,0.0,0.0
2026-01-06 06:05:00,-7.7,86.1,-9.6,0.0,1014.0,1009.1,0.0,9.1,197.0,0.0,0.0
2026-01-06 06:10:00,-7.6,86.2,-9.5,0.0,1014.0,1009.1,0.0,9.1,197.0,0.0,0.0
2026-01-06 06:15:00,-7.6,86.2,-9.5,0.0,1014.0,1009.2,0.0,9.0,197.0,0.0,0.0
2026-01-06 06:20:00,-7.6,86.3,-9.4,0.0,1014.1,1009.2,0.0,8.9,197.0,0.0,0.0
2026-01-06 06:25:00,-7.6,86.4,-9.4,0.0,1014.1,1009.2,0.0,8.9,197.0,0.0,0.0
2026-01-06 06:30:00,-7.6,86.5,-9.4,0.0,1014.1,1009.2,0.0,8.8,197.0,0.0,0.0
2026-01-06 06:35:00,-7.5,86.6,-9.3,0.0,1014.1,1009.2,0.0,8.7,197.0,0.0,0.0
2026-01-06 06:40:00,-7.5,86.7,-9.3,0.0,1014.1,1009.2,0.0,8.6,197.0,0.0,0.0
2026-01-06 06:45:00,-7.5,86.8,-9.2,0.0,1014.2,1009.2,0.0,8.5,197.0,0.0,0.0
2026-01-06 06:50:00,-7.4,86.8,-9.2,0.0,1014.2,1009.3,0.0,8.4,197.0,0.0,0.0
2026-01-06 06:55:00,-7.4,86.9,-9.1,0.0,1014.2,1009.3,0.0,8.3,197.0,0.0,0.0
2026-01-06 07:00:00,-7.4,87.0,-9.1,0.1,1014.2,1009.3,0.0,8.2,203.0,0.0,0.0
2026-01-06 07:05:00,-7.4,87.1,-9.1,0.1,1014.2,1009.4,0.0,8.1,203.0,0.0,0.0
2026-01-06 07:10:00,-7.4,87.2,-9.1,0.1,1014.3,1009.4,0.0,8.1,203.0,0.0,0.0
2026-01-06 07:15:00,-7.4,87.2,-9.1,0.1,1014.4,1009.4,0.0,8.0,203.0,0.0,0.0
2026-01-06 07:20:00,-7.4,87.3,-9.1,0.1,1014.4,1009.5,0.0,7.9,203.0,0.0,0.0
2026-01-06 07:25:00,-7.4,87.4,-9.1,0.1,1014.4,1009.6,0.0,7.9,203.0,0.0,0.0
2026-01-06 07:30:00,-7.4,87.5,-9.1,0.1,1014.5,1009.6,0.0,7.8,203.0,0.0,0.0
2026-01-06 07:35:00,-7.5,87.6,-9.1,0.1,1014.6,1009.6,0.0,7.7,203.0,0.0,0.0
2026-01-06 07:40:00,-7.5,87.7,-9.1,0.1,1014.6,1009.7,0.0,7.7,203.0,0.0,0.0
